,Attraction,AttractionType,CityName,Country,Region,Continent
8393,Nusa Dua Beach,Beaches,Hobart,Australia,Australia,Australia & Oceania
8398,Kuta Beach - Bali,Beaches,Hobart,Australia,Australia,Australia & Oceania
8404,Sanur Beach,Beaches,Hobart,Australia,Australia,Australia & Oceania
8413,Seminyak Beach,Beaches,Hobart,Australia,Australia,Australia & Oceania
8421,Tanah Lot Temple,Religious Sites,Hobart,Australia,Australia,Australia & Oceania
8425,Uluwatu Temple,Religious Sites,Hobart,Australia,Australia,Australia & Oceania
8430,Waterbom Bali,Water Parks,Hobart,Australia,Australia,Australia & Oceania
8452,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Cairns,Australia,Australia,Australia & Oceania
8490,Tegalalang Rice Terrace,Points of Interest & Landmarks,Cairns,Australia,Australia,Australia & Oceania
8507,Tegenungan Waterfall,Waterfalls,Cairns,Australia,Australia,Australia & Oceania
8508,Nusa Dua Beach,Beaches,Cairns,Australia,Australia,Australia & Oceania
8511,Kuta Beach - Bali,Beaches,Cairns,Australia,Australia,Australia & Oceania
8515,Sanur Beach,Beaches,Cairns,Australia,Australia,Australia & Oceania
8532,Seminyak Beach,Beaches,Cairns,Australia,Australia,Australia & Oceania
8545,Tanah Lot Temple,Religious Sites,Cairns,Australia,Australia,Australia & Oceania
8559,Uluwatu Temple,Religious Sites,Cairns,Australia,Australia,Australia & Oceania
8566,Waterbom Bali,Water Parks,Cairns,Australia,Australia,Australia & Oceania
8604,Merapi Volcano,Volcanos,Cairns,Australia,Australia,Australia & Oceania
8605,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Sofia,Bulgaria,Southern Europe,Europe
8617,Tegalalang Rice Terrace,Points of Interest & Landmarks,Sofia,Bulgaria,Southern Europe,Europe
8625,Tegenungan Waterfall,Waterfalls,Sofia,Bulgaria,Southern Europe,Europe
8628,Nusa Dua Beach,Beaches,Sofia,Bulgaria,Southern Europe,Europe
8633,Kuta Beach - Bali,Beaches,Sofia,Bulgaria,Southern Europe,Europe
8635,Sanur Beach,Beaches,Sofia,Bulgaria,Southern Europe,Europe
8640,Seminyak Beach,Beaches,Sofia,Bulgaria,Southern Europe,Europe
8642,Tanah Lot Temple,Religious Sites,Sofia,Bulgaria,Southern Europe,Europe
